Country,Agglomeration 0me (in English),Nr Inhabitants,Area (km2),55-59,60-64,65-69,70-74,>75,Percentages
Italy,Palermo,673581,77.4,114100,96000,73800,43000,7400,48.53165395
Italy,Parma,190500,261,113300,54300,5500,100,0,90.91863517
Italy,Piacenza,102355,118.46,42400,16900,14300,4300,100,76.1076645
Italy,Prato,193325,97.45,52600,60900,29800,3800,100,76.08948662
Italy,Raven0,159057,653,36300,35500,20600,2900,400,59.91562773
Italy,Reggio Emilia,172600,231.56,29100,28100,15900,4200,200,44.78563152
Italy,Rimini,147346,135.27,28800,24800,16000,4000,1400,49.95045675
Italy,Rome,2876614,1286.18,478600,534800,424500,176900,47200,56.13544257
Italy,Salerno,132608,59,0,0,0,0,0,0
Italy,Sassari,111778,69.4,28000,31100,20600,10100,400,80.33781245
Italy,Taranto,201100,218.43,32600,62200,43700,2000,0,69.86573844
Italy,Trieste,203767,85,21800,300,0,0,0,10.84572085
Italy,Turin,1430286,250,279500,549000,316400,116100,1800,88.16418534
Italy,Vicenza,100005,78,19000,14700,18700,11100,1600,63.49682516
Italy,MacroAgglo Milan-Monza,2135450,481,380500,393800,278900,70900,3600,52.63995879
Italy,Messi0,243222,213,16700,37600,45800,44200,7500,59.32851469
Italy,Padova,210400,93.03,21000,104600,40600,13300,2000,85.31368821
Italy,Perugia,166969,0,0,0,0,0,0,0
Italy,Pescara,117166,34.38,0,0,0,0,0,0
Italy,Syracuse,118442,208,12700,20000,25000,23800,10700,68.81005049
Italy,Terni,111210,212.43,29100,33100,12000,13100,600,78.50013488
Italy,Venice,259200,415.9,39300,28600,24900,20600,2800,43.75
Italy,Vero0,258500,198.92,41200,59000,59600,56400,19500,83.63636364
Latvia,Riga,641007,304,133900,188900,143900,54400,5000,81.29396403
Lithuania,Kau0s,295585,157,84200,79100,31600,3100,0,66.9858078
Lithuania,Klaipeda,154326,98,28400,34500,37800,13400,4500,73.93439861
Lithuania,Siauliai,102000,81,23600,30000,22000,4700,100,78.7254902
Lithuania,Vilnius,574339,401,128300,122100,80800,19300,1100,61.02667588
Luxembourg,Luxembourg,153410,135.65,40600,39400,41400,20700,2600,92.62759924
Macedonia,Bitola,92905,10.35,0,0,0,0,0,0
Macedonia,Kumanovo,108048,12.36,0,0,0,0,0,0
Macedonia,Skopje,506926,63.29,0,0,0,0,0,0
Macedonia,Tetovo,90650,7.24,0,0,0,0,0,0
Malta,Valletta,277600,54.125,23200,14600,21600,6700,1100,23.81123919
Montenegro,Podgorica,185937,1441,34400,61300,31300,5500,0,71.26069583
Netherlands,Alkmaar,240505,236.69,48500,25600,12900,900,0,36.54809671
Netherlands,Almere,196932,248.77,12400,3900,300,0,0,8.429305547
Netherlands,Amersfoort,152481,63.86,19600,5300,700,0,0,16.78897699
Netherlands,Amsterdam,1678380,890.36,278600,238100,155200,24000,500,41.46260084
Netherlands,Apeldoorn,158099,341.15,20300,17000,6000,200,0,27.51440553
Netherlands,Arnhem,152293,101.54,31100,22700,5900,0,0,39.20075118
Netherlands,Breda,180937,128.68,26000,27100,14200,1400,0,37.96901684
Netherlands,Eindhoven,447329,275.98,79300,51900,29000,2600,0,36.39379517
Netherlands,Enschede,311903,273.96,42200,33300,11300,100,0,27.86122609
Netherlands,Gouda,204158,180.01,43500,17700,3000,100,0,31.49521449
Netherlands,Groningen,200336,83.75,37000,30900,3700,200,0,35.83978915
Netherlands,Heerlen,228028,174.31,33300,31100,16100,500,0,35.52195344
Netherlands,Hilversum,217072,160.52,51100,34600,17700,1200,0,48.18677674
Netherlands,Maastricht,122397,60.03,21700,18200,11300,500,0,42.23959738
Netherlands,Nijmegen,170681,57.6,25200,24700,11600,500,0,36.32507426
Netherlands,Rotterdam,1310726,656.19,282600,218000,101500,8300,0,46.56961104
Netherlands,s Hertogenbosch,150899,91.79,24300,24600,11600,1300,0,40.95454576
Netherlands,The Hague,1322251,536.49,236800,220700,110700,5300,100,43.37300558
Netherlands,Tilburg,211648,119.15,35400,35700,20600,2500,0,44.50786211
Netherlands,Utrecht,478138,205.53,133200,83100,25500,200,0,50.61300294
Netherlands,Zwolle,123861,119.36,18800,10800,1400,0,0,25.02805564
Norway,Bergen,277391,465,0,0,0,0,0,0
Norway,Fredrikstad,129317,689,16800,12700,8200,2800,100,31.31838815
Norway,Oslo and adjecent agglomerations,973979,1003,208100,141000,105900,49000,4400,51.74649556
Norway,Stavanger,233560,444.36,26500,22300,14000,3200,600,28.2582634
Norway,Trondheim,187353,342,37900,24500,13600,5200,700,43.34064573
Poland,Bialystok,296600,102.1,82800,54900,32200,3100,0,58.32771409
Poland,Bielsko-Biala,173699,124.5,10000,11600,6700,4300,400,18.76809884
Poland,Bydgoszcz,329188,176,105000,64300,25200,6400,400,61.0289561
