Country,Agglomeration Name (in English),Population,Area,55-59,60-64,65-69,70-74,>75,,,,,,,,,,,,,,,,,,,,,,
Germany,Leipzig,539039,297.00,35300,28500,28200,11100,300,,,,,,,,,,,,,,,,,,,,,,
Germany,Halle,231565,136.00,22700,15600,10000,3200,2200,,,,,,,,,,,,,,,,,,,,,,
Germany,Magdeburg,231021,202.00,43400,27800,11000,900,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Kiel,290000,189.00,16200,10400,8700,1500,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Lubeck,250000,298.00,14600,7800,6900,1000,0,,,,,,,,,,,,,,,,,,,,,,
Greece,Athens,745514,38.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Greece,Ioannina,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Greece,Iraklion,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Greece,Larissa,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Greece,Patra,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Greece,Piraeus,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Greece,Thessaloniki,363987,18.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Greece,Volos,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Hungary,Budapest,2158871,1130.00,342100,287600,257600,184900,61300,,,,,,,,,,,,,,,,,,,,,,
Hungary,Debrecen,203059,462.00,33200,35000,25400,10000,600,,,,,,,,,,,,,,,,,,,,,,
Hungary,Gyor,131564,175.00,18100,21900,20500,4500,0,,,,,,,,,,,,,,,,,,,,,,
Hungary,Kecskemet,111724,323.00,23600,19200,10100,1400,0,,,,,,,,,,,,,,,,,,,,,,
Hungary,Miskolc,158101,237.00,27400,25900,22800,12700,600,,,,,,,,,,,,,,,,,,,,,,
Hungary,Nyiregyhaza,118058,275.00,14800,13800,12100,2800,0,,,,,,,,,,,,,,,,,,,,,,
Hungary,Pecs,145347,163.00,23700,20100,11300,4800,200,,,,,,,,,,,,,,,,,,,,,,
Hungary,Szeged,162621,281.00,25300,16400,11300,3700,400,,,,,,,,,,,,,,,,,,,,,,
Iceland,Akureyri,18787,138.00,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Iceland,Gardabaer,15709,71.00,2200,500,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Iceland,Hafnafjordur,29412,143.00,2600,1600,300,100,0,,,,,,,,,,,,,,,,,,,,,,
Iceland,Kopavogur,35970,80.00,7000,1900,300,0,0,,,,,,,,,,,,,,,,,,,,,,
Iceland,Mosfellsbaer,10556,185.00,1700,200,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Iceland,Reykjanesbaer,17805,145.00,1500,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,
